monic	ㅁㅗㄴㅣㄱ
zuckerman	ㅈㅓㅋㅓㅁㅓㄴ
nasri	ㄴㅏㅅㅡㄹㅣ
puckett	ㅍㅓㅋㅔㅅ
govou	ㄱㅗㅂㅜ
capullo	ㅋㅏㅍㅜㄹㄹㅗ
marthe	ㅁㅏㄹㅡㅌㅡ
jinsa	ㅈㅣㄴㅅㅏㅇㅘㅇ
badra	ㅂㅏㄷㅡㄹㅏ
godiva	ㅂㅜㅇㅣㄴ
khamani	ㅋㅏㅁㅏㄴㅣ
riab	ㄹㅣㅇㅓㅂㅡ
salminen	ㅅㅏㄹㅁㅣㄴㅔㄴ
seon	ㄱㅣㅁㅅㅓㄴ
yamaoka	ㄷㅔㅆㅡㅇㅑ
sowell	ㅅㅗㅇㅞㄹ
nordhaus	ㄴㅗㄷㅡㅎㅏㅇㅜㅅㅡ
giovinco	ㅈㅗㅂㅣㄴㅋㅗ
rop	ㄹㅗㅍㅡ
aizumi	ㅁㅗㅇㅔㄹㅣ
gnoukouri	ㄴㅜㅋㅜㄹㅣ
konogi	ㅇㅛㅅㅣㄹㅜ
maclaren	ㅁㅐㅋㅡㄹㄹㅐㄹㅓㄴ
shiratori	ㅌㅔㅊㅡ
fonst	ㅍㅗㄴㅅㅡㅌㅡ
pavese	ㅍㅏㅂㅔㅅㅔ
orkan	ㅇㅗㄹㅡㅋㅏㄴ
shruti	ㅅㅠㄹㅜㅌㅣ
romeu	ㄹㅗㅁㅔㅇㅜ
lino	ㄹㅣㄴㅗ
cassady	ㅋㅐㅅㅣㄷㅣ
wani	ㅇㅘㄴㅣ
robi	ㄹㅗㅂㅣ
couto	ㅋㅗㅌㅜ
krhin	ㅋㅡㄹㅡㅎㅣㄴ
woodard	ㅇㅜㄷㅓㄷㅡ
chengjiao	ㅇㅕㅇㅅㅓㅇㄱㅛ
sanya	ㅅㅏㄴㅑ
means	ㅁㅣㄴㅅㅡ
norrish	ㄴㅗㄹㅣㅅㅣ
valletta	ㅂㅏㄹㄹㅔㅌㅏ
neuland	ㄴㅔㅇㅜㄹㄹㅏㄴㄷㅡ
gressler	ㄱㅡㄹㅔㅅㅡㄹㄹㅓ
yevfimy	ㅇㅖㅍㅡㅍㅣㅁㅣ
reigns	ㄹㅔㄱㅣㄴㅅㅡ
copperfield	ㅋㅗㅍㅓㅍㅣㄹㄷㅡ
kvirikashvili	ㅋㅡㅂㅣㄹㅣㅋㅏㅅㅠㅂㅣㄹㄹㅣ
nakano	ㅇㅠㅋㅏㄹㅣ
jailson	ㅈㅏㅇㅣㅇㅜㅅㅗㅇ
luckner	ㄹㅟㅋㅡㄴㅔㄹㅡ
hecken	ㅎㅔㅋㅔㄴ
thon	ㅌㅗㄴ
karlgren	ㅋㅏㄹㄱㅡㄹㅔㄴ
tawi	ㅌㅏㅇㅟ
oyarzabal	ㅇㅗㅇㅑㄹㅡㅅㅏㅂㅏㄹ
grafite	ㄱㅡㄹㅏㅍㅣㅊㅣ
sardor	ㅅㅏㄹㅡㄷㅗㄹㅡ
kinako	ㅋㅗㅂㅏㅇㅑㅅㅣ
crichton	ㅋㅡㄹㅏㅇㅣㅌㅓㄴ
legend	ㄹㅔㅈㅓㄴㄷㅡ
smolin	ㅅㅡㅁㅗㄹㄹㅣㄴ
malbranque	ㅁㅏㄹㅂㅡㄹㅏㅇㅋㅡ
chatterton	ㅊㅐㅌㅓㅌㅓㄴ
hidari	ㅎㅣㄷㅏㄹㅣ
alou	ㅇㅏㄹㄹㅜ
daldry	ㄷㅗㄹㄷㅡㄹㅣ
pilke	ㅍㅣㄹㅋㅔ
ongenda	ㅇㅗㅇㅈㅏㅇㄷㅏ
dufvenius	ㄷㅜㅍㅡㅂㅔㄴㅣㅇㅜㅅㅡ
brocklebank	ㅂㅡㄹㅗㅋㅡㄹㅂㅐㅇㅋㅡ
cepkin	ㅈㅔㅂㅋㅣㄴ
haba	ㅇㅛㅅㅣㅌㅏㅋㅏ
nderg	ㅇㅡㄴㄷㅔㄹㅡㄱㅡ
electronica	ㅇㅣㄹㄹㅔㄱㅌㅡㄹㅗㄴㅣㅋㅏ
yevtushenko	ㅇㅖㅂㅌㅜㅅㅖㄴㅋㅗ
phongchi	ㅍㅗㄴㅊㅣ
macha	ㅁㅏㅋㅏ
mitsui	ㅇㅏㅇㅣㅋㅏ
kibaki	ㅋㅣㅂㅏㅋㅣ
naruko	ㄴㅏㄹㅜㅋㅗ
inostroza	ㅇㅣㄴㅗㅅㅡㅌㅡㄹㅗㅅㅏ
mikuni	ㅅㅣㅁㅗㅋㅏㅇㅘ
hardaway	ㅎㅏㄷㅓㅇㅞㅇㅣ
yurina	ㅎㅣㄹㅏㅌㅔ
daler	ㄷㅏㄹㄹㅓ
aikawa	ㅇㅠㅋㅗ
nariyama	ㅇㅠㅈㅣ
liberopoulos	ㄹㅣㅂㅔㄹㅗㅍㅜㄹㄹㅗㅅㅡ
jeffreys	ㅈㅔㅍㅡㄹㅣㅅㅡ
nabi	ㄴㅏㅂㅣ
godwin	ㄱㅗㄷㅡㅇㅟㄴ
hanslick	ㅎㅏㄴㅅㅡㄹㄹㅣㅋㅡ
katsuzaki	ㄱㅗㅅㅔㅇㅣ
kannokada	ㅋㅏㄴㄴㅗㅋㅏㄷㅏ
fauchard	ㅍㅗㅅㅑㄹㅡ
thill	ㅌㅣㄹ
sonakshi	ㅅㅗㄴㅏㅋㅡㅅㅣ
drobnjak	ㄷㅡㄹㅗㅂㅡㄴㅑㅋㅡ
hagel	ㅎㅔㅇㅣㄱㅡㄹ
presnyakov	ㅍㅡㄹㅔㅅㅡㄴㅑㅋㅗㅍㅡ
leeves	ㄹㅣㅂㅡㅅㅡ
granath	ㄱㅡㄹㅏㄴㅏㅌㅡ
alaaeldin	ㅇㅏㄹㄹㅏㅇㅔㄹㄷㅣㄴ
munitis	ㅁㅜㄴㅣㅌㅣㅅㅡ
massialas	ㅁㅏㅅㅣㅇㅏㄹㄹㅏㅅㅡ
marschner	ㅁㅏㄹㅡㅅㅠㄴㅓ
guiguzi	ㄱㅟㄱㅗㄱㅈㅏ
draxler	ㄷㅡㄹㅏㄱㅅㅡㄹㄹㅓ
mceachran	ㅁㅐㅋㅣㅋㅡㄹㅓㄴ
hleb	ㅎㅡㄹㄹㅔㅂ
jiandi	ㄱㅏㄴㅈㅓㄱ
hering	ㅎㅔㄹㅣㅇ
bourke	ㅂㅓㅋㅡ
chicherin	ㅊㅣㅊㅔㄹㅣㄴ
dausset	ㄷㅗㅅㅔ
ecevit	ㅇㅔㅈㅔㅂㅣㅌㅡ
dykstra	ㄷㅏㅇㅣㅋㅡㅅㅡㅌㅡㄹㅏ
mcvicar	ㅁㅐㄱㅂㅣㅋㅓ
yamao	ㅁㅣㅆㅡㄴㅗㄹㅣ
dougherty	ㄷㅗㅎㅓㅌㅣ
ryoji	ㅇㅜㅈㅣㅎㅏㄹㅏ
mutai	ㅁㅜㅌㅏㅇㅣ
jiaao	ㄱㅕㅂㅇㅗ
nakagomi	ㅁㅏㅅㅏㅇㅠㅋㅣ
toyoki	ㅎㅏㅅㅔㄱㅏㅇㅘ
ja	ㅈㅏ
szumowska	ㅅㅠㅁㅗㅍㅡㅅㅡㅋㅏ
tiller	ㅌㅣㄹㄹㅓ
mak	ㅁㅏㅋㅡ
qandeel	ㅊㅏㄴㄷㅣㄹ
madjid	ㅁㅏㅈㅣㄷㅡ
yelesina	ㅇㅖㄹㄹㅔㅅㅣㄴㅏ
yangel	ㅇㅏㅇㅎㅔㄹ
kuze	ㄱㅜㅈㅔ
gioia	ㅈㅗㅇㅑ
herbrand	ㅇㅔㄹㅡㅂㅡㄹㅏㅇ
rakim	ㄹㅏㅋㅣㅁ
dayo	ㄷㅏㅇㅛ
onopko	ㅇㅗㄴㅗㅂㅋㅗ
muckelt	ㅁㅓㅋㅔㄹㅌㅡ
tornatore	ㅌㅗㄹㅡㄴㅏㅌㅗㄹㅔ
kensit	ㅋㅔㄴㅈㅣㅅ
tong	ㅌㅗㅇ
oshio	ㄱㅗㅌㅏㄹㅗ
ishinomori	ㅅㅛㅌㅏㄹㅗ
rheon	ㄹㅣㅇㅗㄴ
shalhoub	ㅅㅑㄹㅎㅗㅂㅡ
gulick	ㄱㅠㄹㄹㅣㄱ
nobel	ㄴㅗㅂㅔㄹ
modugno	ㅁㅗㄷㅜㄴㅛ
shigesato	ㅇㅣㅌㅗㅇㅣ
yasuke	ㅇㅑㅅㅡㅋㅔ
sadaaki	ㅅㅏㄷㅏㅇㅏㅋㅣ
oita	ㅋㅗㅇㅣㅊㅣ
ralston	ㄹㅏㄹㅅㅡㅌㅓㄴ
apodaca	ㅇㅏㅍㅗㄷㅏㅋㅏ
bukowski	ㅂㅜㅋㅗㅅㅡㅋㅣ
futoshi	ㅁㅏㅆㅡㄴㅏㄱㅏ
galeotto	ㄱㅏㄹㄹㅔㅇㅗㅌㅗ
barratt	ㅂㅐㄹㅓㅅ
pichelli	ㅍㅣㅋㅔㄹㄹㅣ
ora	ㅇㅗㄹㅏ
jinnah	ㅈㅣㄴㄴㅏ
kasagawa	ㅇㅔㅇㅣㅌㅏ
palade	ㅍㅓㄹㄹㅔㅇㅣㄷㅡ
clebsch	ㅋㅡㄹㄹㅔㅂㅅㅠ
legato	ㄹㅔㄱㅏㅌㅗ
marlen	ㅁㅏㄹㅡㄹㄹㅔㄴ
kosawa	ㄹㅛㅌㅏ
simm	ㅅㅣㅁ
mix	ㅁㅣㅋㅔㄹ
kiely	ㅋㅣㄹㄹㅣ
vestager	ㅂㅔㅅㅡㅌㅏㄱㅔㄹㅡ
guilbeau	ㄱㅣㄹㅂㅗ
saffron	ㅅㅔㅍㅡㄹㅗㄴ
sasaoka	ㅅㅣㄴㅈㅣ
ex	ㅇㅣㄱㅅㅡ
damiens	ㄷㅏㅁㅣㅇㅐㅇ
camaron	ㅋㅐㅁㅓㄹㅓㄴ
banach	ㅂㅏㄴㅏㅎㅡ
bonner	ㅂㅗㄴㅓ
kassandra	ㅋㅓㅅㅐㄴㄷㅡㄹㅏ
hishikari	ㄷㅏㅋㅏㅅㅣ
kotsay	ㅋㅏㅅㅅㅔㅇㅣ
neshat	ㄴㅔㅅㅑㅌㅡ
yanagawa	ㅎㅔㅇㅣㅅㅡㅋㅔ
iu	ㅇㅏㅇㅣㅇㅠ
dirani	ㄷㅣㄹㅏㄴㅣ
anneli	ㅇㅏㄴㄴㅔㄹㄹㅣ
devere	ㄷㅡㅂㅔㅇㅓ
kain	ㅋㅔㅇㅣㄴ
is	ㅇㅣㅈㅡ
jeleel	ㅈㅔㄹㄹㅣㄹ
gyurmed	ㄱㅠㄹㅡㅁㅔㄷㅡ
gilyarovsky	ㄱㅣㄹㄹㅑㄹㅗㅂㅅㅡㅋㅣ
leong	ㄹㅗㅇ
coly	ㅍㅏㅍㅏ
cord	ㅋㅗㄷㅡ
ryzhikov	ㄹㅣㅈㅣㅋㅗㅍㅡ
chulabhorn	ㅉㅜㄹㄹㅏㅍㅗㄴ
ryunosuke	ㄴㅗㄷㅏ
orrantia	ㅇㅗㄹㅐㄴㅌㅣㅇㅏ
exhibition	ㅈㅓㄴㄹㅏㅁㅎㅚ
binay	ㅂㅣㄴㅏㅇㅣ
takabayashi	ㅌㅗㅅㅣㅇㅗ
hirabayashi	ㅌㅗㅅㅣㅇㅗ
rituparna	ㄹㅣㅌㅜㅍㅏㄹㅡㄴㅏ
eirc	ㅇㅔㄹㅡㅋㅡ
nomiyama	ㅎㅣㄷㅔㅋㅣ
chiles	ㅊㅏㅇㅣㄹㅅㅡ
jacky	ㅈㅔㅋㅣ
takamasa	ㅅㅏㅋㅏㅇㅣ
awad	ㅇㅏㅇㅘㄷㅡ
daikei	ㅅㅣㅁㅣㅈㅡ
raynor	ㄹㅔㅇㅣㄴㅓ
shadix	ㅅㅖㄷㅣㄱㅅㅡ
sindermann	ㅈㅣㄴㄷㅓㅁㅏㄴ
howey	ㅎㅏㅇㅜㅇㅣ
asato	ㅁㅏㄹㅣ
mladenov	ㅁㅡㄹㄹㅏㄷㅔㄴㅗㅍㅡ
rukavina	ㄹㅜㅋㅏㅂㅣㄴㅏ
uzma	ㅇㅜㅈㅡㅁㅏ
bunton	ㅂㅓㄴㅌㅓㄴ
bobo	ㅂㅗㅂㅗ
drypetis	ㄷㅡㄹㅣㅍㅔㅌㅣㅅㅡ
kinuo	ㅇㅑㅁㅏㄷㅏ
rinon	ㅇㅣㅅㅗㄴㅗ
mariga	ㅁㅏㄹㅣㄱㅏ
appenzeller	ㅇㅏㅍㅔㄴㅈㅔㄹㄹㅓ
satu	ㅅㅏㅌㅜ
ghaffar	ㄱㅏㅍㅏㄹㅡ
mcgillis	ㅁㅐㄱㄱㅣㄹㄹㅣㅅㅡ
eggimann	ㅇㅔㄱㅣㅁㅏㄴ
patralekha	ㅍㅏㅌㅡㄹㅏㄹㄹㅔㅋㅏ
sitric	ㅅㅣㄱㅡㅌㅡㄹㅟㄱㅡ
albom	ㅇㅐㄹㅂㅗㅁ
wankel	ㅂㅏㅇㅋㅔㄹ
onda	ㄹㅣㅋㅜ
kwong	ㅋㅝㅇ
naganuma	ㄱㅔㄴ
bryaxis	ㅂㅡㄹㅣㅇㅏㄱㅅㅣㅅㅡ
tosuke	ㄷㅗㅅㅡㅋㅔ
majeed	ㅁㅏㅈㅣㄷㅡ
predrag	ㅍㅡㄹㅔㄷㅡㄹㅏㄱㅡ
averardo	ㅇㅏㅂㅔㄹㅏㄹㅡㄷㅗ
mayance	ㅁㅏㅇㅑㅇㅅㅡ
blackstock	ㅂㅡㄹㄹㅐㄱㅅㅡㅌㅗㄱ
hinze	ㅎㅣㄴㅈㅡ
zelter	ㅈㅔㄹㅌㅓ
jackiw	ㅈㅐㅋㅣ
heaviside	ㅎㅔㅂㅣㅅㅏㅇㅣㄷㅡ
abate	ㅇㅏㅂㅏㅌㅔ
komaeda	ㅁㅣㅆㅡㄹㅜ
camet	ㅋㅏㅁㅔㅌㅡ
agostina	ㅇㅏㄱㅗㅅㅡㅌㅣㄴㅏ
porizkova	ㅍㅗㄹㅣㅅㅡㅋㅗㅂㅏ
poroshenko	ㅍㅗㄹㅗㅅㅖㄴㅋㅗ
cillessen	ㅅㅣㄹㄹㅓㅅㅓㄴ
gramsci	ㄱㅡㄹㅏㅁㅅㅣ
sabrosa	ㅅㅏㅂㅡㄹㅗㅈㅏ
spedding	ㅅㅡㅍㅔㄷㅣㅇ
kamenev	ㅋㅏㅁㅔㄴㅔㅍㅡ
yeun	ㅇㅕㄴ
wettig	ㅇㅞㅌㅣㄱㅡ
tone	ㅌㅗㄴㅔ
prokofiev	ㅍㅡㄹㅗㅋㅗㅍㅣㅇㅖㅍㅡ
watros	ㅇㅘㅌㅡㄹㅗㅅㅡ
moralez	ㅁㅗㄹㅏㄹㄹㅔㅅㅡ
piano	ㅍㅣㅇㅏㄴㅗ
andon	ㅇㅏㄴㄷㅗㄴ
darri	ㄷㅏㄹㅣ
zermelo	ㅊㅔㄹㅡㅁㅔㄹㄹㅗ
goethe	ㄱㅚㅌㅔ
thoman	ㅌㅗㅁㅓㄴ
atle	ㅇㅏㅌㅡㄹㄹㅔ
dostler	ㄷㅗㅅㅠㅌㅡㄹㄹㅓ
wilcox	ㅇㅟㄹㅋㅗㄱㅅㅡ
fresco	ㅍㅡㄹㅔㅅㅡㅋㅗ
bucer	ㅂㅜㅅㅓ
riek	ㄹㅣㅇㅔㅋㅡ
kassym	ㅋㅏㅅㅡㅁ
rabindranath	ㄹㅏㅂㅣㄴㄷㅡㄹㅏㄴㅏㅌㅡ
dorada	ㅁㅔㅌㅏㄹㄹㅣㄱ
sinb	ㅅㅣㄴㅂㅣ
broccoli	ㅂㅡㄹㅗㅋㅗㄹㄹㅣ
komura	ㄱㅗㅁㅜㄹㅏ
busta	ㅂㅓㅅㅡㅌㅏ
ximenes	ㅅㅣㅁㅔㄴㅡㅅㅡ
teala	ㅌㅣㄹㄹㅏ
ushijima	ㅁㅣㅆㅡㄹㅜ
boscawen	ㅂㅗㅅㅡㅋㅏㅇㅞㄴ
farmajo	ㅁㅗㅎㅏㅁㅔㄷㅡ
grishin	ㄱㅡㄹㅣㅅㅣㄴ
furlong	ㅍㅓㄹㄹㅗㅇ
goodyear	ㄱㅜㅅㅇㅣㅇㅓ
hausen	ㅎㅏㅇㅜㅈㅔㄴ
yiruma	ㅇㅣㄹㅜㅁㅏ
sheets	ㅅㅣㅊㅡ
roxann	ㄹㅗㄱㅅㅐㄴ
mikiho	ㄴㅣㅇㅘ
pirmin	ㅍㅣㄹㅡㅁㅣㄴ
benn	ㅂㅔㄴ
leino	ㄹㅔㅇㅣㄴㅗ
herrlich	ㅎㅔㄹㅡㄹㄹㅣㅎㅣ
arda	ㅇㅏㄹㅡㄷㅏ
dugommier	ㄷㅟㄱㅗㅁㅣㅇㅔ
javiera	ㅎㅏㅂㅣㅇㅔㄹㅏ
qualley	ㅋㅝㄹㄹㅣ
burhanuddin	ㅂㅜㄹㅡㅎㅏㄴㅜㄷㅣㄴ
seabrook	ㅅㅣㅂㅡㄹㅜㄱ
orii	ㅇㅏㅇㅠㅁㅣ
zafarullah	ㅈㅏㅍㅏㄹㅜㄹㄹㅏ
sumika	ㅅㅜㅁㅣㅋㅏ
birte	ㅂㅣㄹㅡㅌㅔ
funakawa	ㄷㅏㅋㅜㄴㅗㅅㅡㅋㅔ
chikauji	ㅈㅣㅋㅏㅇㅜㅈㅣ
ruto	ㄹㅜㅌㅗ
gebhardt	ㄱㅔㅂㅡㅎㅏㄹㅡㅌㅡ
solow	ㅅㅗㄹㄹㅗ
bidani	ㅂㅣㄷㅏㄴㅣ
opare	ㅇㅗㅍㅏㄹㅔㅇㅣ
hauer	ㅎㅏㅇㅜㅇㅓ
geissel	ㄱㅏㅇㅣㅅㅔㄹ
jorgensen	ㅈㅗㄱㅔㄴㅅㅡㄴ
yumehito	ㅇㅜㅇㅔㄷㅏ
oshii	ㅁㅏㅁㅗㄹㅜ
wester	ㅇㅞㅅㅡㅌㅓ
jennette	ㅈㅔㄴㅔㅅ
claes	ㅋㅡㄹㄹㅐㅅㅡ
marchi	ㅁㅏㅋㅣ
haghighi	ㅎㅏㄱㅣㄱㅣ
zakharchenko	ㅈㅏㅋㅏㄹㅡㅊㅔㄴㅋㅗ
chastain	ㅊㅐㅅㅡㅌㅔㅇㅣㄴ
theodoropoulos	ㅌㅔㅇㅗㄷㅗㄹㅗㅍㅜㄹㄹㅗㅅㅡ
blackehart	ㅂㅡㄹㄹㅐㄱㅎㅏㅌㅡ
beccaria	ㅂㅔㅋㅏㄹㅣㅇㅏ
junkei	ㅈㅜㄴㅋㅔㅇㅣ
oberdorfer	ㅇㅗㅂㅓㄷㅗㅍㅓ
fazekas	ㄹㅗㅂㅔㄹㅡㅌㅡ
stecker	ㅅㅡㅌㅔㅋㅓ
catt	ㅋㅐㅅ
akpa	ㅇㅏㅋㅡㅍㅏ
ammons	ㅇㅐㅁㅓㄴㅅㅡ
augustinos	ㅇㅏㅂㅡㄱㅜㅅㅡㅌㅣㄴㅗㅅㅡ
labille	ㄹㅏㅂㅣㄹ
mallet	ㅁㅏㄹㄹㅔ
ajeti	ㅇㅏㅇㅖㅌㅣ
kenichi	ㅇㅛㅅㅣㄷㅏ
lantz	ㄹㅐㄴㅊㅡ
madhavan	ㅁㅏㄷㅏㅂㅏㄴ
murata	ㅎㅣㄹㅗㄴㅏ
kristjan	ㅋㅡㄹㅣㅅㅡㅌㅣㅇㅏㄴ
anais	ㅇㅏㄴㅏㅇㅣㅅㅡ
riri	ㅋㅜㄹㅣㅂㅏㅇㅑㅅㅣ
toume	ㄱㅔㅇㅣ
rogerio	ㅎㅗㅈㅔㄹㅣㅇㅜ
onie	ㅇㅗㄴㅣ
dalberg	ㄷㅏㄹㅂㅓㄱㅡ
aletta	ㅇㅏㄹㅔㅅㅌㅏ
glyn	ㄱㅡㄹㄹㅣㄴ
manrou	ㅁㅓㄴㄹㅗ
giovane	ㅈㅣㅇㅗㅂㅏㄴㅣ
myerson	ㅁㅏㅇㅣㅇㅓㅅㅡㄴ
perovsky	ㅍㅔㄹㅗㅂㅡㅅㅡㅋㅣ
tosi	ㅌㅗㅅㅣ
muriqui	ㅁㅜㄹㅣㅋㅣ
najimy	ㄴㅏㅈㅣㅁㅣ
cobbs	ㅋㅗㅂㅡㅅㅡ
wynette	ㅇㅘㅇㅣㄴㅔㅅ
perutz	ㅍㅓㄹㅜㅊㅡ
winckelmann	ㅂㅣㅇㅋㅔㄹㅁㅏㄴ
kubitschek	ㅋㅜㅂㅣㅊㅔㅋㅡ
shimei	ㅅㅣㅁㅔㅇㅣ
consigli	ㅋㅗㄴㅅㅣㄹㄹㅣ
difranco	ㄷㅣㅍㅡㄹㅐㅇㅋㅗ
takahara	ㄷㅗㅅㅣㅇㅑㅅㅡ
dumatrait	ㄷㅓㅁㅏㅌㅡㄹㅔ
teramoto	ㅇㅠㅋㅣㅋㅏ
candeloro	ㅋㅏㅇㄷㅔㄹㄹㅗㄹㅗ
husbands	ㅎㅓㅅㅡㅂㅐㄴㅈㅡ
cocco	ㅋㅗㅋㅗ
costanzo	ㅋㅗㅅㅡㅌㅏㄴㅊㅗ
mesto	ㅁㅔㅅㅡㅌㅗ
dreama	ㄷㅡㄹㅣㅁㅏ
superb	ㅅㅠㅍㅓㅂㅣ
liliuokalani	ㄹㅣㄹㄹㅣㅇㅜㅇㅗㅋㅏㄹㄹㅏㄴㅣ
westenra	ㅇㅞㅅㅡㅌㅡㄴㄹㅏ
nanjo	ㄴㅏㄴㅈㅗ
ayushiridara	ㅋㅏㄴ
tamotsu	ㅇㅑㅌㅗ
damita	ㄷㅏㅁㅣㅌㅏ
wars	ㅇㅝㅈㅡ
sahan	ㅅㅏㅋㅏㄴ
redmayne	ㄹㅔㄷㅡㅁㅔㅇㅣㄴ
sitting	ㅌㅏㅌㅏㅇㅋㅏ
zimmerman	ㅈㅣㅁㅔㄹㅡㅁㅏㄴ
loaiza	ㄹㅗㅇㅏㅇㅣㅈㅏ
illanes	ㅇㅣㄹㄹㅑㄴㅔㅅㅡ
naito	ㄴㅏㄹㅜㅇㅠㅋㅣ
ullerup	ㅇㅜㄹㄹㅔㄹㅜㅍㅡ
altgeld	ㅇㅏㄹㅌㅡㄱㅔㄹㄷㅡ
